,TotalCoinsMined,TotalCoinSupply
71,-0.11512463661949233,-0.1514151945924055
72,0.5266655571341938,-0.15286468095586875
73,-0.11672364923037913,-0.15255407673512664
74,-0.11621641211746132,-0.1491670116613196
75,-0.11618615580094135,-0.15210739828434508
76,-0.11563495934820156,-0.15286468095586875
77,-0.11674785727054926,-0.15286466616519157
78,-0.10438386162751802,-0.1397305596216302
79,-0.11498633911570297,-0.1513856132380491
80,-0.11579234428982677,-0.15216934211366906
81,-0.08114131740389971,-0.1188461234460166
82,-0.11671645706345435,-0.1527167741840868
83,-0.11624450065251643,-0.1522434725143845
84,-0.11669788262660642,-0.15168142678161303
85,-0.11674347352287673,-0.15286098328657421
86,-0.11672138525387506,-0.15286468095586875
87,-0.0926282450902169,-0.1291995974707542
88,-0.11564532861954822,-0.1513856132380491
89,-0.1162397709766418,-0.15252449538077023
90,-0.1160450888708044,-0.15286468095586875
91,-0.1156247302915251,-0.15162226407290025
92,-0.11412276884419939,-0.14893892758669008
93,-0.11659532735955494,-0.15278333223138868
94,-0.11455309888995893,-0.15286468095586875
95,-0.11588762120339312,-0.1521991004828499
96,-0.11602154724224925,-0.15286468095586875
97,-0.11349981672293318,-0.13807400377767218
98,3.923121817445324,2.575533684843628
99,0.034836811440387395,-0.004957909173902847
100,-0.07695570084702905,-0.12093437774291008
101,-0.11562474301724908,-0.14546934236677045
102,-0.11525115714484363,-0.15130988497089673
103,-0.11588924633931083,-0.15185891490775139
104,-0.11558039329797488,-0.15286468095586875
105,-0.1076388170693354,-0.1280163432964985
106,-0.11615124219960046,-0.15286468095586875
107,-0.11372966733371799,-0.15040371934289734
108,-0.11670349436310264,-0.1526871928297304
109,-0.11674389036832021,-0.15282581105624446
110,-0.11291477776555346,-0.14546934236677045
111,-0.11340587058946248,-0.1504981726073573
112,-0.11671566716061656,-0.15286468095586875
113,-0.1165921229108904,-0.1527167741840868
114,-0.09935340065642596,-0.13807400377767218
115,-0.10095823257955713,-0.13807400377767218
116,-0.11668884753401867,-0.15256886741230483
117,-0.11531878663016988,-0.15286468095586875
118,-0.11660817883285422,-0.15286468095586875
119,-0.11652533100851233,-0.15281481659864285
120,-0.11649318449671764,-0.15256886741230483
121,-0.015560854542138394,-0.004957909173902847
122,-0.10119769385270312,-0.12564983494798704
123,-0.11673428689781119,-0.15285551845675177
124,-0.11647435548684827,-0.15255407673512664
125,-0.11674594701816146,1.2078776194382175
126,-0.11671466056673287,-0.15286468095586875
127,-0.11535074448803713,-0.1517110081359694
128,-0.11604068906574364,-0.15237658860898826
129,-0.11644625965907394,-0.15189161561592465
130,-0.11642421388566594,-0.1520695341507689
131,-0.11655983314986747,-0.15278984012934707
132,-0.11639970610210167,-0.15255407673512664
133,-0.11674065787316987,-0.15286468095586875
134,-0.11603314503977806,-0.1497550889859247
135,-0.11508830799426895,-0.1491670116613196
136,-0.11455309888995893,-0.1513856132380491
137,-0.11651753439848395,-0.15261462389559532
138,-0.11624214766825713,-0.15212514709695893
139,0.6096883039755735,-0.15286468095586875
140,-0.11580281352454765,-0.13807400377767218
141,-0.11645091658693733,-0.15247571572743654
142,-0.11639962143830064,-0.1526280301210176
143,-0.1162870337957555,-0.15255407673512664
144,-0.11652039268948923,-0.15255407673512664
145,-0.11213883625543837,-0.14975863874844747
146,-0.11649660337793007,-0.15165240599392169
147,-0.11666734128587344,-0.15253928605794842
148,0.12459757056700324,0.23982779812525074
149,-0.11521513140524453,-0.15162226407290025
150,-0.1166353123135946,-0.15270937884549768
151,0.36039758874875544,0.16700264508942061
152,0.10425479460580665,-0.15286468095586875
153,-0.11655038010711534,-0.1522434725143845
